dataset,pixel_id,lat,lon,n_events,variance_full_series,ac1_full_series,lambda_ar1_full_series
VODCA,13,46.125,-91.125,0,0.00017172746765322064,0.06082851938348173,2.7986751890996144
VODCA,14,46.125,-90.875,0,0.00027104667132940065,0.30899643292836365,1.1776430183860433
VODCA,15,46.125,-87.875,0,0.0005804215152330745,0.17698119295459044,1.7274658254080981
VODCA,16,46.375,-88.875,0,0.00031086744556591483,0.19669111261199065,1.623097740648063
VODCA,17,46.375,-85.875,0,0.0005336184866468188,0.26136338326681235,1.3416515600679917
VODCA,18,46.625,-88.125,0,0.0004851720937299369,0.10413142402913016,2.263224448215112
VODCA,19,47.125,-93.875,0,0.00020827553710927398,-0.05649938578838757,
VODCA,20,45.125,-78.875,0,3.135737900116707e-05,0.0074173787985138545,4.870869722711137
VODCA,21,45.125,-78.125,0,9.60921122587452e-05,-0.06879057803078854,
VODCA,22,45.125,-76.875,0,0.00013088320533804045,0.21376412980193008,1.5412769870676906
VODCA,23,45.375,-78.375,0,3.450572092752585e-05,-0.07418882174701978,
VODCA,24,45.625,-77.875,0,0.00011983611255512383,-0.10364755462986812,
VODCA,25,45.875,-79.875,0,0.0002866153683678699,0.02845755951223261,3.5586191652800565
VODCA,26,46.375,-76.875,0,6.898646402684813e-05,0.1032411270811485,2.303477484412113
VODCA,27,46.625,-71.375,0,0.0008439617546215797,0.4759479426276432,0.7848121394521196
VODCA,28,46.875,-79.625,0,5.644031643525673e-05,-0.23694778342457773,
VODCA,29,47.375,-79.125,0,3.709583161029573e-05,-0.10677420737361848,
VODCA,30,45.125,-63.625,1,0.001220422324649659,0.32526269256838664,1.1232385658879462
VODCA,31,45.125,-62.625,1,0.0009995036068186733,0.005618199677594367,5.2021726054031445
VODCA,32,45.375,-62.125,1,0.0014158949578535567,0.23572781479351382,1.4456328305322081
VODCA,33,45.625,-67.875,0,0.00024696587311996406,-0.06901171322192923,
VODCA,34,45.625,-67.125,0,0.00023452163775727902,0.15820662570917388,1.8385763323047728
VODCA,35,46.125,-66.375,0,0.000846158360782451,0.31448893291164226,1.156600435822604
VODCA,36,46.125,-65.875,0,0.00047639941676825437,0.06534321830889227,2.729404726384589
VODCA,37,46.625,-65.625,0,0.0013676226855513988,0.09559448239996525,2.3567196574120843
VODCA,38,46.875,-68.375,0,0.0005430351133031741,0.5215929321498418,0.6501815127720655
VODCA,39,47.375,-68.875,0,0.0005172975464476219,0.31380721498345804,1.1587446538843644
VODCA,40,47.875,-123.125,1,0.0004733490733393563,-0.04321691247722092,
VODCA,41,48.125,-121.875,1,0.0003274730491692254,0.04451170416738041,3.090137596890729
VODCA,42,48.375,-117.375,0,0.0006820793537777405,0.4207172189428185,0.8657248127057153
VODCA,43,48.875,-122.125,0,0.00030267966603526533,0.3205405313975562,1.137796624094939
VODCA,44,49.125,-122.125,1,0.00021633614603538577,0.2561676754182844,1.36219939639213
VODCA,45,49.375,-125.375,1,0.0007519865048206369,0.08560110606091348,2.4586292175722337
VODCA,46,49.625,-126.125,0,0.0009086508505463182,0.2114445859530872,1.5114110280720154
VODCA,47,49.875,-125.875,1,0.0013919248401007191,0.2073817261588196,1.5732022137947719
VODCA,48,50.125,-126.875,0,0.0004826128026657425,0.2869851927382638,1.2479256423240948
VODCA,49,50.125,-125.875,0,0.00031713705098451684,0.2575734659407434,1.3864750158505506
VODCA,50,48.375,-115.125,0,0.00128458580963948,0.33818233099519,1.1514349272899764
VODCA,51,49.625,-110.375,0,0.002644044874517125,0.25632744177949446,1.3624007753365512
VODCA,52,48.625,-56.375,0,0.00028604065036795485,0.12081262676307732,2.1024400473768523
VODCA,53,50.375,-126.625,0,0.0003753686497281381,0.1027023814604118,2.275887375003907
VODCA,54,50.375,-126.375,0,8.674650382950043e-05,0.05648794234222006,2.8785482736465893
VODCA,55,50.375,-126.125,1,0.00023058671586111988,0.21013116978550841,1.5621615347919533
VODCA,56,50.375,-119.375,0,0.0005187360698907233,0.27338871468856024,1.2949331562448203
VODCA,57,50.625,-119.625,0,0.0005380866125178048,0.27741128654866987,1.3154943983546223
VODCA,58,51.625,-121.375,0,0.0004273436578509019,0.2428125510122195,1.4141615032826949
VODCA,59,51.875,-121.875,0,0.0005620620745150501,0.256171089284792,1.361489643698233
VODCA,60,52.125,-121.875,0,0.0006835414583257494,0.296867238279621,1.214078025649031
VODCA,61,52.625,-127.625,0,0.00041741206563827604,0.479004160848587,0.7371816146546805
VODCA,62,52.625,-122.125,0,0.001369895965799079,0.24962424635703145,1.3733491524444816
VODCA,63,52.875,-122.625,0,0.0016787189278283413,0.4504327117787836,0.7976484997446037
VODCA,64,52.875,-122.375,0,0.0012567638293676036,0.20723878455668346,1.5570779844873346
VODCA,65,53.375,-123.375,0,0.001349673371670184,0.560587948719741,0.5767393924784673
VODCA,66,53.625,-122.625,0,0.001825218770969983,0.42171930505401506,0.8633061437193593
VODCA,67,53.875,-123.125,0,0.0008761822806346555,0.4333261883220617,0.823901158347119
VODCA,68,54.125,-129.625,0,0.00043665116622513715,0.425468409027085,0.8546414313286351
VODCA,69,54.625,-118.375,0,0.0013343646783379173,0.260333944805506,1.3458394947052108
VODCA,70,54.625,-118.125,0,0.0012250697470756425,0.12225009706509245,2.1008958565284486
VODCA,71,54.625,-117.125,0,0.001193624042055206,0.17150494453932894,1.7607144738475888
VODCA,72,55.375,-117.625,0,0.003943606255437754,0.27370774086400373,1.2964922364207443
GPP,0,49.375,-125.125,1,2.0797523176555166e-05,0.3207677962043528,1.1371442046695075
GPP,1,49.625,-125.625,1,1.7794094905631015e-05,0.3455801443934316,1.0625659688351663
GPP,2,49.625,-123.375,1,1.3714381764712046e-05,0.32047095336749565,1.1379959321044175
GPP,3,49.875,-126.125,1,2.4390562120166893e-05,0.25764432370941764,1.3565690141007503
GPP,4,49.875,-124.375,1,1.8495119609653147e-05,0.19932689151969987,1.6132219107844625
GPP,5,50.375,-122.875,1,1.389378554479121e-05,0.2490559605760515,1.3901412494885608
GPP,6,50.625,-125.875,1,1.6748584080915706e-05,0.2538297423391657,1.3712974344269577
GPP,7,51.125,-126.875,0,2.0979636148899973e-05,0.37682147518903514,0.9760424236383178
GPP,8,51.125,-126.625,1,2.1007972314579417e-05,0.37007883487100984,0.9942334707810432
GPP,9,51.375,-125.625,1,6.4393605022621014e-06,0.29411483537100513,1.2237670960788098
GPP,10,49.625,-117.875,1,8.563444426691548e-06,0.17179311945820927,1.761439063129418
GPP,11,50.125,-117.625,1,1.2310035626267796e-05,0.09670892441255727,2.3359436728521428
GPP,12,50.125,-117.375,1,9.882206227379198e-06,0.1102772483208174,2.2046852738815317
